zero two three ten seventeen twentyfour twentyfive twentysix thirtythree thirtyfour thirtyfive twentynine thirty thirtyseven thirtyeight fortyfive fortysix fortyseven fortyeight fiftyfive fiftyfour fiftythree sixty sixtyseven sixtysix sixtyfive sixtyfour seventyone seventyseven eightyfour seventyeight seventynine eighty eightyone eightyeight eightynine eightytwo seventyfive sixtyeight sixtyone sixtytwo sixtythree fiftyseven fifty fiftyone fortyfour thirtyseven thirtysix twentynine twentytwo fifteen twentyone fourteen thirteen twelve five four zero
48
zero six
two two
three three
ten ten
twentyfour twentyfour
twentyfive twentyfive
thirtythree thirtythree
thirtyfour thirtyfour
thirtyfive thirtyfive
twentynine twentynine
thirty thirty
thirtyseven thirtyseven
thirtyeight thirtynine
fortyfive fortyfive
fortyseven fortyseven
fortyeight fortyeight
fiftyfive fiftyfive
fiftythree fiftythree
sixty sixty
sixtyseven sixtyseven
sixtysix sixtysix
sixtyfive sixtyfive
sixtyfour seventy
seventyone seventyone
seventyseven seventyseven
eightyfour eightyfour
seventyeight seventyeight
seventynine seventynine
eightyone eightyone
eightyeight ninetyfive eightyeight eightyseven
eightynine eightynine
eightytwo eightytwo
seventyfive seventyfive
sixtyeight sixtyeight
sixtyone sixtyone
sixtytwo sixtytwo
fiftyseven fiftyseven
fifty fifty
fiftyone fiftyone
fortyfour fortyfour
thirtysix thirtysix
twentytwo twentytwo
fifteen fifteen
twentyone twenty
fourteen fourteen
twelve twelve
five five
four four
